term,counts
remember,15584
set,15560
reason,15555
25,15512
yesterday,15505
wo,15445
up,15284
info,15222
problem,15221
matter,15201
listen,15199
given,15197
gets,15169
summer,15161
blame,15160
60,15124
vai,15119
available,15098
caso,15062
ng,15055
personal,15050
higher,15048
bill,15029
das,15026
teachers,15021
visit,14973
200,14971
leaders,14950
der,14937
18,14925
office,14908
affected,14907
play,14904
ne,14899
current,14894
00,14883
serious,14877
cover,14876
17,14836
hacer,14816
confirmados,14744
whole,14682
claim,14624
seems,14592
following,14583
africa,14563
action,14556
cure,14538
en,14518
ver,14512
on,14494
hear,14486
yang,14470
sense,14468
else,14452
vida,14375
coronaviruspandemic,14369
women,14348
brain,14331
return,14327
protests,14308
different,14235
argentina,14224
lol,14201
instead,14194
wow,14192
nhs,14166
16,14164
ask,14141
all,14128
means,14101
failed,14094
self,14088
opening,14074
hace,14013
hey,14006
ai,14004
só,13962
rest,13938
menos,13931
70,13922
took,13914
election,13912
tweet,13910
source,13905
age,13891
cómo,13881
sports,13866
rules,13817
nursing,13813
victoria,13727
españa,13697
rising,13682
prevent,13649
inside,13638
emergency,13600
issues,13591
leader,13579
border,13560
tras,13515
send,13492
handling,13492
ang,13455
21,13436
services,13373
act,13352
ok,13340
sars,13340
residents,13340
term,13324
university,13311
group,13303
happen,13302
able,13299
hydroxychloroquine,13288
try,13286
je,13261
biden,13248
foxnews,13239
contagio,13232
san,13204
course,13178
service,13165
went,13144
qui,13126
common,13110
industry,13109
wearamask,13095
killed,13069
vez,13067
ini,13064
caused,13050
international,13048
blood,13044
billion,13032
season,13026
damn,13010
thread,13010
melbourne,13005
question,12969
pandemi,12943
employees,12927
especially,12917
nick,12913
rally,12913
jul,12863
pruebas,12828
par,12823
aquí,12821
records,12804
plans,12794
reuters,12779
johnson,12777
run,12773
west,12767
citizens,12751
und,12747
500,12741
negative,12732
tax,12713
distance,12704
gon,12695
che,12683
vacuna,12673
church,12655
reporting,12645
force,12640
behind,12629
damage,12626
130,12620
पर,12596
probably,12582
twitter,12555
whitehouse,12552
company,12537
cada,12521
aid,12513
claims,12510
untuk,12496
polriajaktatananhidupbaru,12489
financial,12452
rates,12442
department,12442
millones,12434
continues,12413
mal,12393
lead,12386
nytimes,12378
hand,12376
dio,12370
idea,12362
policy,12323
needed,12315
child,12244
patient,12243
politics,12241
final,12231
that,12196
leave,12183
list,12179
gracias,12175
deal,12156
icu,12152
hell,12133
talking,12093
prueba,12088
war,12078
looks,12058
herd,12056
issue,12055
companies,12054
law,11998
taken,11977
nearly,11969
deadly,11963
failure,11950
ce,11930
hold,11919
cloroquina,11919
though,11917
hate,11914
members,11890
line,11857
power,11843
poor,11828
started,11827
41,11817
major,11803
2019,11800
22,11782
joebiden,11777
living,11760
facts,11745
que,11739
lack,11718
exams,11712
interesting,11700
staysafe,11686
dengan,11681
general,11670
campaign,11668
key,11657
provide,11657
finally,11594
ppe,11586
hi,11582
isso,11563
govrondesantis,11525
comes,11505
ready,11494
años,11492
entire,11483
decision,11469
funding,11459
dangerous,11455
já,11432
sorry,11408
digital,11406
co,11398
recent,11396
drug,11380
england,11374
blm,11347
announced,11347
ao,11339
wonder,11314
healthy,11312
guy,11309
últimas,11295
result,11284
weekend,11271
guess,11260
move,11255
mexico,11237
clear,11236
sector,11212
mental,11154
número,11152
critical,11151
esse,11147
yeah,11143
warns,11141
director,11139
ou,11130
france,11122
level,11103
webinar,11101
program,11094
communities,11088
half,11086
hospitalizations,11086
2021,11043
dice,11035
republicans,11030
official,11015
tv,11000
demand,10996
lie,10989
cordero,10960
pa,10946
mejor,10939
huge,10925
happy,10916
longer,10912
monday,10897
zero,10897
cas,10893
goes,10850
wuhan,10823
running,10804
chief,10793
name,10792
friday,10785
delhi,10777
responsible,10764
capacity,10755
russia,10754
head,10742
fighting,10734
26,10716
dia,10708
lying,10693
came,10691
thinking,10660
trust,10649
disney,10642
racist,10640
ppl,10629
45,10617
area,10606
harmless,10589
stayhome,10582
happening,10568
novel,10565
ones,10557
favor,10555
casi,10550
registra,10536
worth,10533
kong,10532
unemployment,10508
advice,10493
expert,10473
colombia,10434
morning,10424
release,10411
semana,10409
evitar,10406
situación,10405
click,10393
ass,10367
dios,10342
aire,10337
access,10330
late,10328
false,10322
guys,10313
información,10307
republican,10290
concerns,10288
vamos,10268
democrats,10268
kesehatan,10265
parte,10240
april,10236
quedateencasa,10235
treat,10206
idiot,10206
noticias,10204
large,10198
literally,10189
virtual,10183
sigue,10153
four,10143
mortality,10133
happened,10131
seeing,10126
europe,10117
prison,10101
history,10094
hong,10078
houston,10052
mortes,10047
buy,10046
pass,10035
details,10030
takes,10027
released,10020
vs,10013
dari,9981
effects,9979
atención,9925
totally,9920
wake,9910
several,9905
body,9893
nueva,9888
are,9875
pelo,9853
biggest,9836
nigeria,9826
threat,9817
mind,9814
mark,9794
gone,9782
learning,9779
guidance,9775
game,9767
either,9750
prevención,9737
boris,9726
questions,9725
forward,9720
security,9707
narendramodi,9695
chance,9676
ccp,9665
potential,9643
bring,9639
mr,9631
currently,9630
cost,9616
ways,9614
event,9614
wish,9613
allowed,9613
count,9612
después,9606
restaurants,9591
23,9580
im,9563
cities,9548
रह,9540
nacional,9515
within,9513
absolutely,9508
slow,9507
college,9494
borisjohnson,9486
reality,9476
actor,9472
vulnerable,9413
kind,9392
